"Category"	"Female"	"Male"	"Neutral"
"Service"	10.5	59.548	16.476
"STEM"	4.219	71.624	11.181
"Farming 
 Fishing 
 Forestry"	12.179	62.179	14.744
"Corporate"	9.167	66.042	14.861
"Healthcare"	23.305	49.576	15.537
"Legal"	11.905	72.619	10.714
"Arts 
 Entertainment"	10.36	67.342	11.486
"Education"	23.485	53.03	9.091
"Production"	14.331	51.199	18.245
"Construction 
 Extraction"	8.578	61.887	17.525
"Total"	11.76	58.93	15.939
