"Adjective","Gender","Count","Male","Female","Neutral"
"Happy","Neutral",18.181818181818183,27.272727272727273,36.36363636363637,18.181818181818183
"Happy","Female",36.36363636363637,27.272727272727273,36.36363636363637,18.181818181818183
"Happy","Male",27.272727272727273,27.272727272727273,36.36363636363637,18.181818181818183
"Sad","Neutral",18.181818181818183,36.36363636363637,18.181818181818183,18.181818181818183
"Sad","Female",18.181818181818183,36.36363636363637,18.181818181818183,18.181818181818183
"Sad","Male",36.36363636363637,36.36363636363637,18.181818181818183,18.181818181818183
"Right","Neutral",27.272727272727273,63.63636363636363,0.0,27.272727272727273
"Right","Female",0.0,63.63636363636363,0.0,27.272727272727273
"Right","Male",63.63636363636363,63.63636363636363,0.0,27.272727272727273
"Wrong","Neutral",36.36363636363637,54.54545454545455,0.0,36.36363636363637
"Wrong","Female",0.0,54.54545454545455,0.0,36.36363636363637
"Wrong","Male",54.54545454545455,54.54545454545455,0.0,36.36363636363637
"Afraid","Neutral",0.0,54.54545454545455,9.090909090909092,0.0
"Afraid","Female",9.090909090909092,54.54545454545455,9.090909090909092,0.0
"Afraid","Male",54.54545454545455,54.54545454545455,9.090909090909092,0.0
"Brave","Neutral",18.181818181818183,63.63636363636363,9.090909090909092,18.181818181818183
"Brave","Female",9.090909090909092,63.63636363636363,9.090909090909092,18.181818181818183
"Brave","Male",63.63636363636363,63.63636363636363,9.090909090909092,18.181818181818183
"Smart","Neutral",18.181818181818183,45.45454545454545,18.181818181818183,18.181818181818183
"Smart","Female",18.181818181818183,45.45454545454545,18.181818181818183,18.181818181818183
"Smart","Male",45.45454545454545,45.45454545454545,18.181818181818183,18.181818181818183
"Dumb","Neutral",18.181818181818183,36.36363636363637,18.181818181818183,18.181818181818183
"Dumb","Female",18.181818181818183,36.36363636363637,18.181818181818183,18.181818181818183
"Dumb","Male",36.36363636363637,36.36363636363637,18.181818181818183,18.181818181818183
"Proud","Neutral",9.090909090909092,72.72727272727273,9.090909090909092,9.090909090909092
"Proud","Female",9.090909090909092,72.72727272727273,9.090909090909092,9.090909090909092
"Proud","Male",72.72727272727273,72.72727272727273,9.090909090909092,9.090909090909092
"Strong","Neutral",18.181818181818183,54.54545454545455,9.090909090909092,18.181818181818183
"Strong","Female",9.090909090909092,54.54545454545455,9.090909090909092,18.181818181818183
"Strong","Male",54.54545454545455,54.54545454545455,9.090909090909092,18.181818181818183
"Polite","Neutral",18.181818181818183,45.45454545454545,18.181818181818183,18.181818181818183
"Polite","Female",18.181818181818183,45.45454545454545,18.181818181818183,18.181818181818183
"Polite","Male",45.45454545454545,45.45454545454545,18.181818181818183,18.181818181818183
"Cruel","Neutral",18.181818181818183,63.63636363636363,9.090909090909092,18.181818181818183
"Cruel","Female",9.090909090909092,63.63636363636363,9.090909090909092,18.181818181818183
"Cruel","Male",63.63636363636363,63.63636363636363,9.090909090909092,18.181818181818183
"Desirable","Neutral",45.45454545454545,36.36363636363637,9.090909090909092,45.45454545454545
"Desirable","Female",9.090909090909092,36.36363636363637,9.090909090909092,45.45454545454545
"Desirable","Male",36.36363636363637,36.36363636363637,9.090909090909092,45.45454545454545
"Loving","Neutral",27.272727272727273,45.45454545454545,18.181818181818183,27.272727272727273
"Loving","Female",18.181818181818183,45.45454545454545,18.181818181818183,27.272727272727273
"Loving","Male",45.45454545454545,45.45454545454545,18.181818181818183,27.272727272727273
"Sympathetic","Neutral",18.181818181818183,45.45454545454545,18.181818181818183,18.181818181818183
"Sympathetic","Female",18.181818181818183,45.45454545454545,18.181818181818183,18.181818181818183
"Sympathetic","Male",45.45454545454545,45.45454545454545,18.181818181818183,18.181818181818183
"Modest","Neutral",27.272727272727273,45.45454545454545,18.181818181818183,27.272727272727273
"Modest","Female",18.181818181818183,45.45454545454545,18.181818181818183,27.272727272727273
"Modest","Male",45.45454545454545,45.45454545454545,18.181818181818183,27.272727272727273
"Successful","Neutral",27.272727272727273,54.54545454545455,9.090909090909092,27.272727272727273
"Successful","Female",9.090909090909092,54.54545454545455,9.090909090909092,27.272727272727273
"Successful","Male",54.54545454545455,54.54545454545455,9.090909090909092,27.272727272727273
"Guilty","Neutral",0.0,72.72727272727273,0.0,0.0
"Guilty","Female",0.0,72.72727272727273,0.0,0.0
"Guilty","Male",72.72727272727273,72.72727272727273,0.0,0.0
"Innocent","Neutral",9.090909090909092,54.54545454545455,9.090909090909092,9.090909090909092
"Innocent","Female",9.090909090909092,54.54545454545455,9.090909090909092,9.090909090909092
"Innocent","Male",54.54545454545455,54.54545454545455,9.090909090909092,9.090909090909092
"Mature","Neutral",9.090909090909092,36.36363636363637,36.36363636363637,9.090909090909092
"Mature","Female",36.36363636363637,36.36363636363637,36.36363636363637,9.090909090909092
"Mature","Male",36.36363636363637,36.36363636363637,36.36363636363637,9.090909090909092
"Shy","Neutral",27.272727272727273,27.272727272727273,36.36363636363637,27.272727272727273
"Shy","Female",36.36363636363637,27.272727272727273,36.36363636363637,27.272727272727273
"Shy","Male",27.272727272727273,27.272727272727273,36.36363636363637,27.272727272727273
