"GT_F/A"	"GT_F/(M+F)"	"BLS_Data"
0	0	0.04
0.0909090909	0.1111111111	0.113
0	0	0.04
0	0	0.04
0	0	0.018
0.0909090909	0.1111111111	0.04
0	0	0.04
0.0909090909	0.1428571429	0.006
0	0	0.006
0.1818181818	0.2857142857	0.028
0.0909090909	0.125	0.028
0	0	0.026
0	0	0.084
0	0	0.084
0	0	0.084
0	0	0.02
0	0	0.02
0.0909090909	0.1	0.026
0	0	0.026
0.0909090909	0.1111111111	0.04
0	0	0.04
0	0	0.04
0	0	0.039
0.0909090909	0.1428571429	0.059
0.0909090909	0.1428571429	0.04
0.1818181818	0.2222222222	0.04
0.0909090909	0.125	0.04
0	0	0.059
0.0909090909	0.1111111111	0.059
0.0909090909	0.125	0.04
0	0	0.04
0.0909090909	0.1111111111	0.04
0.0909090909	0.1428571429	0.018
0.0909090909	0.1111111111	0.018
0.0909090909	0.1111111111	0.018
0	0	0.018
0	0	0.026
0.0909090909	0.1428571429	0.04
0	0	0.04
0	0	0.04
0.1818181818	0.25	0.113
0.1818181818	0.2857142857	0.04
0	0	0.146
0	0	0.146
0	0	0.081
0	0	0.081
0	0	0.039
0	0	0.02
0	0	0.02
0	0	0.059
0	0	0.059
0	0	0.04
0	0	0.04
0.2727272727	0.4285714286	0.04
0	0	0.026
0	0	0.04
0	0	0.04
0	0	0.081
0	0	0.081
0	0	0.027
0	0	0.027
0	0	0.04
0	0	0.04
0	0	0.04
0	0	0.04
0	0	0.018
0	0	0.04
0	0	0.04
0	0	0.04
0.1818181818	0.2857142857	0.04
0.0909090909	0.125	0.018
0	0	0.018
0.0909090909	0.1	0.018
0	0	0.04
0	0	0.04
0	0	0.04
0.0909090909	0.1	0.75
0.1818181818	0.2222222222	0.211
0	0	0.693
0	0	0.693
0.3636363636	0.4444444444	0.949
0.3636363636	0.4444444444	0.358
0.0909090909	0.1	0.708
0	0	0.708
0.2727272727	0.3	0.941
0.0909090909	0.125	0.306
0.0909090909	0.125	0.75
0.2727272727	0.3	0.75
0.3636363636	0.4	0.917
0.2727272727	0.3333333333	0.794
0.1818181818	0.2222222222	0.794
0.0909090909	0.0909090909	0.66
0.1818181818	0.2222222222	0.66
0.1818181818	0.2222222222	0.75
0.1818181818	0.1818181818	0.465
0.3636363636	0.5714285714	0.895
0.4545454545	0.7142857143	0.895
0.1818181818	0.2	0.917
0.5454545455	0.6666666667	0.75
0.5454545455	0.6	0.75
0.3636363636	0.4	0.922
0.1818181818	0.2	0.941
0.2727272727	0.3333333333	0.876
0.0909090909	0.1	0.75
0.0909090909	0.1428571429	0.502
0.0909090909	0.125	0.306
0.1818181818	0.2	0.575
0.1818181818	0.25	0.682
0.0909090909	0.1	0.4
0.2727272727	0.3	0.709
0.0909090909	0.125	0.75
0.1818181818	0.2222222222	0.75
0.4545454545	0.625	0.75
0.5454545455	0.75	0.899
0.1818181818	0.2222222222	0.724
0	0	0.98
0.1818181818	0.2	0.4
0.1818181818	0.25	0.833
0.2727272727	0.3	0.625
0.0909090909	0.1428571429	0.17
0.1818181818	0.3333333333	0.748
0.0909090909	0.1111111111	0.748
0.0909090909	0.125	0.635
0.1818181818	0.1818181818	0.723
0.0909090909	0.1	0.541
0.3636363636	0.4444444444	0.748
0.0909090909	0.125	0.753
0.0909090909	0.1	0.635
0.0909090909	0.125	0.541
0.0909090909	0.1111111111	0.653
0.1818181818	0.2222222222	0.753
0.2727272727	0.3333333333	0.748
0.2727272727	0.3333333333	0.825
0.1818181818	0.25	0.504
0.1818181818	0.25	0.727
0.0909090909	0.125	0.34
0	0	0.489
0.0909090909	0.1111111111	0.784
0.1818181818	0.2222222222	0.584
0.2727272727	0.3333333333	0.584
0	0	0.34
0	0	0.3
0.0909090909	0.1111111111	0.434
0.0909090909	0.1111111111	0.518
0.0909090909	0.125	0.28
0	0	0.784
0.0909090909	0.125	0.584
0.0909090909	0.1111111111	0.072
0.0909090909	0.125	0.784
0	0	0.571
0.0909090909	0.125	0.571
0.0909090909	0.1111111111	0.489
0.0909090909	0.125	0.482
0	0	0.491
0	0	0.503
0	0	0.34
0.0909090909	0.125	0.271
0.0909090909	0.125	0.584
0	0	0.694
0.2727272727	0.375	0.827
0	0	0.28
0.0909090909	0.1666666667	0.289
0	0	0.289
0	0	0.289
0.5454545455	0.75	0.289
0.4545454545	0.5555555556	0.289
0.1818181818	0.3333333333	0.377
0.0909090909	0.125	0.601
0.1818181818	0.2222222222	0.289
0.2727272727	0.375	0.289
0.1818181818	0.2222222222	0.289
0.0909090909	0.125	0.14
0	0	0.033
0.0909090909	0.1428571429	0.289
0.1818181818	0.2857142857	0.289
0	0	0.289
0.0909090909	0.125	0.045
0.0909090909	0.1111111111	0.045
0.0909090909	0.125	0.289
0.1818181818	0.2857142857	0.289
0.2727272727	0.4285714286	0.289
0.2727272727	0.4285714286	0.243
0.0909090909	0.125	0.289
0.0909090909	0.1428571429	0.289
0	0	0.057
0.0909090909	0.125	0.057
0.0909090909	0.1428571429	0.057
0	0	0.289
0.1818181818	0.2857142857	0.289
0	0	0.289
0.1818181818	0.3333333333	0.289
0.0909090909	0.1428571429	0.289
0.0909090909	0.125	0.098
0	0	0.098
0.0909090909	0.1666666667	0.289
0.1818181818	0.3333333333	0.289
0.0909090909	0.1428571429	0.14
0.1818181818	0.2857142857	0.11
0.1818181818	0.2222222222	0.253
0.0909090909	0.125	0.631
0.0909090909	0.2	0.032
0.2727272727	0.375	0.289
0.2727272727	0.5	0.289
0.3636363636	0.5714285714	0.289
0.5454545455	0.75	0.759
0	0	0.289
0.1818181818	0.25	0.289
0.0909090909	0.1111111111	0.289
