Expanded Occupation	Total employed (Thousands)	Women Participation (%)	Original Occupation	Category	Category Total employed (Thousands)	Category Women Participation (%)
License clerk	90	75.2	Court, municipal, and license clerks	Office and administrative support occupations	17,751	72.2
Licensed practical nurse	630	89.5	Licensed practical and licensed vocational nurses	Healthcare practitioners and technical occupations	9,141	75
Licensed vocational nurses	630	89.5	Licensed practical and licensed vocational nurses	Healthcare practitioners and technical occupations	9,141	75
Life science technician	164	47.7	Miscellaneous life, physical, and social science technicians	Life, physical, and social science occupations	1,431	47.4
Life scientist	3	-	Life scientists, all other	Life, physical, and social science occupations	1,431	47.4
Lifeguard	136	49.6	Lifeguards and other recreational, and all other protective service workers	Protective service occupations	3,113	22.3
Loading machine operator	30	-	Dredge, excavating, and loading machine operators	Transportation and material moving occupations	9,445	17.3
Loan clerk	120	80.4	Loan interviewers and clerks	Office and administrative support occupations	17,751	72.2
Loan interviewer	120	80.4	Loan interviewers and clerks	Office and administrative support occupations	17,751	72.2
Loan officer	353	56.5	Credit counselors and loan officers	Business and financial operations occupations	7,574	54
Lobby attendant	37	-	Ushers, lobby attendants, and ticket takers	Personal care and service occupations	5,939	76.1
