Expanded Occupation	Total employed (Thousands)	Women Participation (%)	Original Occupation	Category	Category Total employed (Thousands)	Category Women Participation (%)
Elevator installer	40	-	Elevator installers and repairers	Construction and extraction occupations	8,031	3
Elevator repairer	40	-	Elevator installers and repairers	Construction and extraction occupations	8,031	3
Eligibility interviewer	62	76.7	Eligibility interviewers, government programs	Office and administrative support occupations	17,751	72.2
Embalmer	17	-	Embalmers and funeral attendants	Personal care and service occupations	5,939	76.1
Emergency management director	11	-	Emergency management directors	Management occupations	17,804	39.8
Emergency medical technician	223	30.6	Emergency medical technicians and paramedics	Healthcare practitioners and technical occupations	9,141	75
Engine assembler	13	-	Engine and other machine assemblers	Production occupations	8,482	28.9
Engineer	582	14.1	Engineers, all other	Architecture and engineering occupations	3,224	16.2
Engineering manager	129	8.7	Architectural and engineering managers	Management occupations	17,804	39.8
Engineering technician	375	20	Engineering technicians, except drafters	Architecture and engineering occupations	3,224	16.2
Engraver	11	-	Etchers and engravers	Production occupations	8,482	28.9
Entertainer	67	48.1	Entertainers and performers, sports and related workers, all other	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Entertainment attendant	224	42.9	Miscellaneous entertainment attendants and related workers	Personal care and service occupations	5,939	76.1
Environmental engineer	38	-	Environmental engineers	Architecture and engineering occupations	3,224	16.2
Environmental scientist	84	35.8	Environmental scientists and geoscientists	Life, physical, and social science occupations	1,431	47.4
Equipment cleaner	331	14	Cleaners of vehicles and equipment	Transportation and material moving occupations	9,445	17.3
Etcher	11	-	Etchers and engravers	Production occupations	8,482	28.9
Event planner	137	85.1	Meeting, convention, and event planners	Business and financial operations occupations	7,574	54
Excavating machine operator	30	-	Dredge, excavating, and loading machine operators	Transportation and material moving occupations	9,445	17.3
Exercise physiologist	5	-	Exercise physiologists	Healthcare practitioners and technical occupations	9,141	75
Expediting clerk	270	53.9	Production, planning, and expediting clerks	Office and administrative support occupations	17,751	72.2
Explosives worker	10	-	Explosives workers, ordnance handling experts, and blasters	Construction and extraction occupations	8,031	3
Extraction worker helper	4	-	Helpers--extraction workers	Construction and extraction occupations	8,031	3
Extruding machine operator	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Extruding machine setter	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Extruding machine tender	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Fabric patternmaker	3	-	Fabric and apparel patternmakers	Production occupations	8,482	28.9
Fabricator	1,033	37.7	Miscellaneous assemblers and fabricators	Production occupations	8,482	28.9
Farm products buyer	11	-	Buyers and purchasing agents, farm products	Business and financial operations occupations	7,574	54
Farm products purchasing agent	11	-	Buyers and purchasing agents, farm products	Business and financial operations occupations	7,574	54
Farmer	1,018	25.2	Farmers, ranchers, and other agricultural managers	Management occupations	17,804	39.8
Fence erector	34	-	Fence erectors	Construction and extraction occupations	8,031	3
File clerk	182	81.4	File clerks	Office and administrative support occupations	17,751	72.2
Filling machine operator	292	52.8	Packaging and filling machine operators and tenders	Production occupations	8,482	28.9
Filling machine tender	292	52.8	Packaging and filling machine operators and tenders	Production occupations	8,482	28.9
Financial analyst	309	36.5	Financial analysts	Business and financial operations occupations	7,574	54
Financial clerk	82	60.8	Financial clerks, all other	Office and administrative support occupations	17,751	72.2
Financial examiner	15	-	Financial examiners	Business and financial operations occupations	7,574	54
Financial manager	1,167	55.7	Financial managers	Management occupations	17,804	39.8
Financial services sales agent	262	34	Securities, commodities, and financial services sales agents	Sales and related occupations	15,815	49.1
Financial specialist	45	-	Financial specialists, all other	Business and financial operations occupations	7,574	54
